name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Iteration/s"
"SwarmSearch_Rosenbrock/4/manual_time",117,4.98307e+06,5.03823e+06,ns,,,,,,32945.2
"SwarmSearch_Rosenbrock/8/manual_time",115,6.02114e+06,6.08611e+06,ns,,,,,,16634.9
"SwarmSearch_Rosenbrock/64/manual_time",15,4.75424e+07,4.80634e+07,ns,,,,,,2055.78
"SwarmSearch_Rosenbrock/512/manual_time",2,3.8637e+08,3.90449e+08,ns,,,,,,257.063
"SwarmSearch_Rosenbrock/1000/manual_time",1,7.52475e+08,7.61106e+08,ns,,,,,,132.895
"GeneticOpenMP_Rosenbrock/4/manual_time",840,963463,963337,ns,,,,,,62367.9
"GeneticOpenMP_Rosenbrock/8/manual_time",360,1.8531e+06,1.85302e+06,ns,,,,,,54874.1
"GeneticOpenMP_Rosenbrock/64/manual_time",138,6.89752e+06,6.89187e+06,ns,,,,,,21289.9
"GeneticOpenMP_Rosenbrock/512/manual_time",20,4.73641e+07,4.73447e+07,ns,,,,,,2884.68
"GeneticOpenMP_Rosenbrock/1000/manual_time",10,8.50594e+07,8.49552e+07,ns,,,,,,692.671
"TunnellingOpenMP_Rosenbrock/4/manual_time",24,2.99129e+07,1.56492e+07,ns,,,,,,30326
"TunnellingOpenMP_Rosenbrock/8/manual_time",19,3.54113e+07,1.50285e+07,ns,,,,,,27914.8
"TunnellingOpenMP_Rosenbrock/64/manual_time",3,1.90395e+08,4.12258e+07,ns,,,,,,5378.82
"TunnellingOpenMP_Rosenbrock/512/manual_time",1,2.10135e+09,4.35177e+08,ns,,,,,,475.884
"TunnellingOpenMP_Rosenbrock/1000/manual_time",1,3.96182e+09,9.53086e+08,ns,,,,,,252.409
"DeOpenMP_Rosenbrock/creatures:4/threads:1/manual_time",1072,518008,518144,ns,,,,,,190191
"DeOpenMP_Rosenbrock/creatures:8/threads:1/manual_time",823,854109,854178,ns,,,,,,116754
"DeOpenMP_Rosenbrock/creatures:64/threads:1/manual_time",125,5.59204e+06,5.59147e+06,ns,,,,,,18006.9
"DeOpenMP_Rosenbrock/creatures:512/threads:1/manual_time",16,4.34792e+07,4.34717e+07,ns,,,,,,2299.35
"DeOpenMP_Rosenbrock/creatures:1024/threads:1/manual_time",8,8.69351e+07,8.69237e+07,ns,,,,,,1151.87
"DeOpenMP_Rosenbrock/creatures:4/threads:8/manual_time",203,3.6206e+06,1.67783e+06,ns,,,,,,25364.4
"DeOpenMP_Rosenbrock/creatures:8/threads:8/manual_time",199,3.51551e+06,1.52313e+06,ns,,,,,,26364.6
"DeOpenMP_Rosenbrock/creatures:64/threads:8/manual_time",119,5.99193e+06,3.70604e+06,ns,,,,,,18130.3
"DeOpenMP_Rosenbrock/creatures:512/threads:8/manual_time",29,2.76405e+07,1.80189e+07,ns,,,,,,3521.2
"DeOpenMP_Rosenbrock/creatures:1024/threads:8/manual_time",14,5.55645e+07,3.63983e+07,ns,,,,,,1861.56
"DeOpenMP_Rosenbrock/creatures:4/threads:16/manual_time",118,5.55472e+06,2.27944e+06,ns,,,,,,20425.6
"DeOpenMP_Rosenbrock/creatures:8/threads:16/manual_time",129,5.20902e+06,1.83667e+06,ns,,,,,,19567.7
"DeOpenMP_Rosenbrock/creatures:64/threads:16/manual_time",100,6.93821e+06,3.34347e+06,ns,,,,,,14212.1
"DeOpenMP_Rosenbrock/creatures:512/threads:16/manual_time",33,2.0275e+07,1.47319e+07,ns,,,,,,5183.29
"DeOpenMP_Rosenbrock/creatures:1024/threads:16/manual_time",20,3.41308e+07,2.51783e+07,ns,,,,,,3003.25
